iter	Passed	Remaining
0	63	315322
1	97	242424
2	165	275486
3	229	286864
4	293	293514
5	358	298008
6	421	300395
7	485	302903
8	547	303657
9	656	327368
10	724	328556
11	810	336936
12	874	335298
13	937	333891
14	1004	333979
15	1071	333774
16	1141	334487
17	1283	355372
18	1349	353732
19	1401	348955
20	1465	347436
21	1531	346515
22	1604	347152
23	1691	350738
24	1712	340873
25	1780	340707
26	1844	339731
27	1910	339275
28	1973	338295
29	2038	337647
30	2078	333171
31	2142	332658
32	2204	331800
33	2268	331383
34	2332	330846
35	2396	330406
36	2462	330265
37	2525	329810
38	2589	329370
39	2662	330113
40	2775	335697
41	2843	335658
42	2911	335650
43	2976	335253
44	3038	334534
45	3105	334457
46	3185	335740
47	3248	335159
48	3281	331605
49	3370	333648
50	3434	333300
51	3499	333028
52	3542	330650
53	3603	330087
54	3678	330754
55	3741	330336
56	3839	332987
57	3905	332773
58	3969	332401
59	4024	331371
60	4088	331057
61	4152	330760
62	4214	330261
63	4277	329883
64	4341	329635
65	4408	329538
66	4471	329249
67	4534	328916
68	4604	329044
69	4669	328871
70	4741	329160
71	4805	328903
72	4896	330482
73	4965	330556
74	5028	330236
75	5060	327896
76	5123	327578
77	5186	327261
78	5264	327960
79	5339	328383
80	5421	329212
81	5488	329192
82	5553	328992
83	5616	328683
84	5679	328428
85	5742	328131
86	5805	327858
87	5889	328765
88	5956	328689
89	6025	328708
90	6089	328479
91	6159	328575
92	6222	328316
93	6273	327433
94	6335	327135
95	6399	326907
96	6461	326588
97	6525	326427
98	6589	326223
99	6655	326100
100	6717	325839
101	6750	324172
102	6812	323914
103	6902	324932
104	6988	325785
105	7052	325630
106	7114	325360
107	7180	325254
108	7211	323571
109	7273	323359
110	7337	323173
111	7401	323012
112	7466	322903
113	7530	322765
114	7593	322564
115	7658	322437
116	7720	322196
117	7784	322081
118	7850	322019
119	7915	321895
120	8013	323128
121	8088	323410
122	8151	323209
123	8212	322949
124	8280	322956
125	8345	322812
126	8408	322639
127	8472	322500
128	8536	322341
129	8599	322162
130	8679	322591
131	8712	321322
132	8775	321146
133	8847	321292
134	8911	321139
135	8979	321163
136	9063	321724
137	9130	321668
138	9202	321836
139	9263	321588
140	9328	321472
141	9392	321317
142	9458	321246
143	9521	321088
144	9584	320928
145	9648	320793
146	9720	320895
147	9783	320750
148	9844	320516
149	9910	320427
150	9971	320214
151	10055	320719
152	10134	321047
153	10208	321251
154	10271	321079
155	10335	320933
156	10398	320751
157	10474	321004
158	10537	320843
159	10605	320817
160	10669	320674
161	10736	320630
162	10800	320498
163	10880	320833
164	10943	320673
165	11009	320604
166	11097	321167
167	11164	321101
168	11232	321076
169	11295	320937
170	11358	320772
171	11424	320689
172	11488	320562
173	11568	320862
174	11643	321021
175	11713	321054
176	11779	320965
177	11842	320806
178	11905	320655
179	11967	320456
180	12032	320351
181	12096	320231
182	12181	320654
183	12251	320657
184	12315	320524
185	12380	320429
186	12443	320273
187	12508	320159
188	12572	320032
189	12637	319923
190	12702	319826
191	12765	319673
192	12829	319548
193	12892	319393
194	12958	319304
195	13020	319135
196	13084	319015
197	13146	318845
198	13240	319424
199	13307	319382
200	13375	319356
201	13446	319384
202	13509	319238
203	13574	319139
204	13637	318978
205	13700	318841
206	13764	318709
207	13827	318562
208	13890	318418
209	13954	318295
210	14022	318261
211	14085	318118
212	14150	318030
213	14214	317903
214	14323	318789
215	14391	318745
216	14474	319046
217	14538	318909
218	14602	318785
219	14665	318650
220	14732	318588
221	14794	318414
222	14860	318326
223	14926	318243
224	14994	318220
225	15063	318209
226	15130	318132
227	15194	318013
228	15274	318231
229	15368	318735
230	15446	318895
231	15513	318830
232	15611	319391
233	15674	319255
234	15745	319271
235	15812	319193
236	15877	319095
237	15943	319004
238	16009	318914
239	16073	318798
240	16141	318735
241	16207	318663
242	16270	318503
243	16343	318560
244	16447	319216
245	16513	319128
246	16576	318980
247	16640	318844
248	16703	318715
249	16767	318585
250	16828	318402
251	16890	318237
252	16957	318163
253	17018	317982
254	17081	317849
255	17145	317723
256	17207	317564
257	17268	317386
258	17340	317421
259	17403	317276
260	17496	317688
261	17564	317644
262	17633	317608
263	17697	317489
264	17760	317348
265	17839	317484
266	17904	317378
267	17968	317259
268	18033	317161
269	18099	317070
270	18164	316978
271	18227	316838
272	18292	316735
273	18354	316587
274	18418	316469
275	18507	316772
276	18574	316705
277	18641	316644
278	18705	316525
279	18774	316489
280	18840	316408
281	18905	316296
282	18971	316220
283	19037	316133
284	19104	316060
285	19168	315937
286	19232	315826
287	19293	315670
288	19364	315665
289	19427	315534
290	19492	315434
291	19578	315664
292	19647	315636
293	19715	315589
294	19778	315445
295	19844	315370
296	19908	315248
297	19971	315128
298	20034	314993
299	20099	314884
